,Player,Pos,Age,Team,Games,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,Total Reb Percentage,AST,STL,BLK,TOV,PF,PTS,Year,PER,True Shooting Percentage,3PAr,FTr,Offensive Rebound Percentage,Defensive Rebound Percentage,TRB%,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Win Shares,Defensive Win Shares,Win Shares,Win Shares Per 48 Minutes, Offensive Box Plus/Minus,Defensive Box Plus/Minus,Box Plus/Minus,Value over Replacement Player,cluster
8,Alex Stepheson,PF,28,MEM,4,0,15.3,2.0,6.5,0.308,0.0,0.0,0.0,2.0,6.5,0.308,0.308,1.0,2.5,0.4,4.5,2.0,6.5,0.5,0.3,0.8,0.0,2.0,5.0,2016,14.8,0.341,0.0,0.444,28.5,14.5,21.8,4.3,0.7,6.0,0.0,19.8,0.0,0.1,0.1,0.068,-0.5,-2.0,-2.4,0.0,Defensive Big Men
18,J.J. Hickson,C,27,DEN,20,9,15.3,2.8,5.5,0.505,0.0,0.0,0.0,2.8,5.5,0.505,0.505,1.4,3.0,0.45799999999999996,1.1,3.3,4.4,0.8,0.5,0.6,0.8,1.8,6.9,2016,16.8,0.514,0.006,0.665,9.8,24.1,16.8,8.7,1.7,2.6,11.1,22.6,0.3,0.5,0.8,0.08800000000000001,-1.1,0.0,-1.1,0.1,Defensive Big Men
19,Festus Ezeli,C,26,GSW,46,13,16.7,2.7,5.0,0.5479999999999999,0.0,0.0,0.0,2.7,5.0,0.5479999999999999,0.5479999999999999,1.5,2.9,0.53,2.0,3.6,5.6,0.7,0.4,1.1,0.8,2.0,7.0,2016,17.7,0.5589999999999999,0.0,0.579,13.5,21.9,18.0,5.8,1.1,4.8,11.7,18.2,1.4,1.3,2.7,0.171,-0.6,0.4,-0.1,0.4,Defensive Big Men
22,David Lee,PF,33,SAS,79,10,18.7,3.1,5.3,0.59,0.0,0.0,0.0,3.1,5.3,0.59,0.59,1.0,1.4,0.708,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,7.3,2017,18.5,0.613,0.0,0.269,11.7,21.9,16.9,13.0,1.1,2.2,14.9,16.9,3.2,2.5,5.7,0.18600000000000005,0.7,1.1,1.8,1.4,Defensive Big Men
31,Edy Tavares,C,24,CLE,1,0,24.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,0.75,0.0,1.0,0.0,4.0,6.0,10.0,1.0,0.0,6.0,2.0,3.0,6.0,2017,21.3,0.633,0.0,0.6,16.3,26.8,21.6,5.1,0.0,17.3,24.0,13.2,0.0,0.1,0.1,0.15,-1.4,4.7,3.3,0.0,Defensive Big Men
79,JaVale McGee,C,31,LAL,75,62,22.3,5.3,8.5,0.624,0.0,0.2,0.083,5.3,8.4,0.634,0.625,1.3,2.0,0.632,2.6,4.9,7.5,0.7,0.6,2.0,1.4,2.8,12.0,2019,21.8,0.634,0.019,0.237,12.3,22.5,17.5,4.8,1.3,7.3,13.2,20.2,3.0,2.9,5.9,0.171,0.3,1.2,1.4,1.4,Defensive Big Men
93,Jahlil Okafor,C,23,NOP,59,24,15.8,3.6,6.1,0.586,0.0,0.1,0.2,3.6,6.1,0.591,0.5870000000000001,1.0,1.5,0.6629999999999999,1.4,3.3,4.7,0.7,0.3,0.7,0.9,1.6,8.2,2019,17.9,0.603,0.014,0.246,9.2,21.4,15.4,6.3,0.7,3.5,11.5,19.9,1.4,0.8,2.2,0.115,-0.6,-0.9,-1.5,0.1,Defensive Big Men
108,Joakim Noah,C,33,MEM,42,1,16.5,2.6,5.1,0.516,0.0,0.0,0.0,2.6,5.0,0.519,0.516,1.9,2.6,0.716,1.4,4.3,5.7,2.1,0.5,0.7,1.2,2.3,7.1,2019,18.6,0.5710000000000001,0.005,0.512,9.2,29.6,19.3,20.6,1.4,4.2,16.1,20.0,1.0,1.2,2.2,0.15,-0.3,2.4,2.1,0.7,Defensive Big Men
125,DeAndre Jordan,C,30,NYK,19,19,25.9,4.1,6.5,0.634,0.0,0.0,0.0,4.1,6.5,0.634,0.634,2.7,3.5,0.773,3.4,8.0,11.4,3.0,0.5,1.1,2.2,2.2,10.9,2019,19.0,0.674,0.0,0.5920000000000001,11.7,35.2,23.5,11.6,1.0,3.0,21.4,15.0,4.0,3.1,7.1,0.16699999999999998,0.8,1.3,2.1,2.1,Defensive Big Men
127,Enes Kanter,C,26,POR,23,8,22.3,5.4,9.3,0.5770000000000001,0.1,0.5,0.25,5.3,8.8,0.596,0.584,2.2,3.0,0.735,3.7,4.9,8.6,1.4,0.6,0.4,1.7,2.7,13.1,2019,22.3,0.594,0.05,0.28800000000000003,16.4,26.1,21.1,12.1,0.9,1.3,13.3,23.1,3.9,1.6,5.4,0.159,2.5,-1.5,1.0,1.2,Defensive Big Men
133,Alex Len,C,25,ATL,77,31,20.1,4.2,8.4,0.494,1.0,2.6,0.363,3.2,5.8,0.5539999999999999,0.551,1.8,2.8,0.648,2.1,3.5,5.5,1.1,0.4,0.9,1.3,2.6,11.1,2019,17.2,0.575,0.315,0.333,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1.0,3.2,0.1,0.0,-1.3,-1.2,0.3,Defensive Big Men
144,Kevon Looney,C,22,GSW,80,24,18.5,2.7,4.3,0.625,0.0,0.1,0.1,2.7,4.2,0.6409999999999999,0.627,0.8,1.3,0.619,2.4,2.8,5.2,1.5,0.6,0.7,0.6,2.6,6.3,2019,17.3,0.636,0.029,0.303,14.6,15.4,15.0,10.9,1.5,3.0,11.5,12.8,4.2,1.8,6.0,0.194,0.1,0.4,0.5,0.9,Defensive Big Men
146,Robin Lopez,C,30,CHI,74,36,21.7,4.1,7.2,0.568,0.1,0.4,0.226,4.0,6.8,0.589,0.575,1.2,1.7,0.7240000000000001,1.9,2.0,3.9,1.2,0.1,1.1,1.3,1.7,9.5,2019,15.9,0.598,0.058,0.23,9.4,10.0,9.7,8.8,0.3,4.2,14.0,18.6,2.0,0.7,2.7,0.081,-0.6,-1.4,-1.9,0.0,Defensive Big Men
152,Tristan Thompson,C,27,CLE,43,40,27.9,4.7,8.8,0.529,0.0,0.0,0.0,4.7,8.8,0.529,0.529,1.6,2.5,0.642,4.0,6.2,10.2,2.0,0.7,0.4,1.4,2.1,10.9,2019,18.4,0.551,0.0,0.279,15.4,25.7,20.3,11.2,1.2,1.2,12.1,17.7,2.1,0.5,2.6,0.105,1.4,-1.9,-0.5,0.4,Defensive Big Men
